,0,1,2,3
0,gabizinha,@gabturquetti,2010-05-31T20:57:06.000Z,"Fudeu, rs."
1,gabizinha,@gabturquetti,2010-05-31T01:28:07.000Z,"Nem acredito, que vou para São Paulo no feriado. PQP! Como eu tô com saudade daquilo, de vida, movimento, da teodoro sampaio!"
2,gabizinha,@gabturquetti,2010-05-30T23:53:18.000Z,"e saindo na rua, achando que estão tendência porque saiu na Capricho. Acho isso uma puta falta de sacanagem."
3,gabizinha,@gabturquetti,2010-05-30T23:52:18.000Z,Porra Capricho. Deu de agora eles divulgarem as roupas surradas. PORRA! Agora é só esperar para ver as pré adolescentes rasgando suas calças
4,gabizinha,@gabturquetti,2010-05-30T23:48:45.000Z,Amanhã começa tudo de novo. Ver as mesmas pessoas.....que saco.
5,gabizinha,@gabturquetti,2010-05-30T23:43:20.000Z,Mas eu não sei como.
6,gabizinha,@gabturquetti,2010-05-30T23:42:52.000Z,"Sei lá, eu sinceramente não aguento mais sabe? Preciso mudar isso."
7,gabizinha,@gabturquetti,2010-05-30T23:42:06.000Z,"Amanhã será mais um dia sem você, ou será um dia em que eu poderei dizer que foi diferente dos outros 3 meses?"
8,gabizinha,@gabturquetti,2010-05-30T20:31:02.000Z,"acho uma puta falta de sacanagem um bando de gente ter colocado aparelho depois de mim, e já ter tirado _l_"
9,gabizinha,@gabturquetti,2010-05-30T00:08:51.000Z,"E estudar para o simulado que é bom, nada né?"
10,gabizinha,@gabturquetti,2010-05-30T00:08:12.000Z,"Porra. Hoje foi um dia nada produtivo, só comi e dormi."
11,gabizinha,@gabturquetti,2010-05-29T23:51:07.000Z,"you, me, we'll work it out"
12,gabizinha,@gabturquetti,2010-05-29T15:38:35.000Z,http://www.youtube.com/watch?v=F1XAITacPM4
13,gabizinha,@gabturquetti,2010-05-29T14:40:59.000Z,"@filecomfritas
 Nem lembra mais né? :("
14,gabizinha,@gabturquetti,2010-05-29T13:59:25.000Z,"""smart is the new sexy"""
15,gabizinha,@gabturquetti,2010-05-29T13:31:37.000Z,"Em resposta a 
@marinafonsecaw@unsaidthingsq THEY ARE THE EGGMAN"
16,gabizinha,@gabturquetti,2010-05-29T01:35:27.000Z,"bateu uma saudade <3 @justmyluckq @unsaidthingsq 
@causw"
17,gabizinha,@gabturquetti,2010-05-28T21:28:49.000Z,GARY COLEMAN MORREU?
18,gabizinha,@gabturquetti,2010-05-28T18:22:13.000Z,"mas que preguiça de fazer meu dever de música, rs."
19,gabizinha,@gabturquetti,2010-05-28T18:05:12.000Z,"Camarim do Restart, é mais legal com o 
@RestartBrasilia
 III ! =D"
20,gabizinha,@gabturquetti,2010-05-31T20:57:06.000Z,"Fudeu, rs."
21,gabizinha,@gabturquetti,2010-05-31T01:28:07.000Z,"Nem acredito, que vou para São Paulo no feriado. PQP! Como eu tô com saudade daquilo, de vida, movimento, da teodoro sampaio!"
22,gabizinha,@gabturquetti,2010-05-30T23:53:18.000Z,"e saindo na rua, achando que estão tendência porque saiu na Capricho. Acho isso uma puta falta de sacanagem."
23,gabizinha,@gabturquetti,2010-05-30T23:52:18.000Z,Porra Capricho. Deu de agora eles divulgarem as roupas surradas. PORRA! Agora é só esperar para ver as pré adolescentes rasgando suas calças
24,gabizinha,@gabturquetti,2010-05-30T23:48:45.000Z,Amanhã começa tudo de novo. Ver as mesmas pessoas.....que saco.
25,gabizinha,@gabturquetti,2010-05-30T23:43:20.000Z,Mas eu não sei como.
26,gabizinha,@gabturquetti,2010-05-30T23:42:52.000Z,"Sei lá, eu sinceramente não aguento mais sabe? Preciso mudar isso."
27,gabizinha,@gabturquetti,2010-05-30T23:42:06.000Z,"Amanhã será mais um dia sem você, ou será um dia em que eu poderei dizer que foi diferente dos outros 3 meses?"
28,gabizinha,@gabturquetti,2010-05-30T20:31:02.000Z,"acho uma puta falta de sacanagem um bando de gente ter colocado aparelho depois de mim, e já ter tirado _l_"
29,gabizinha,@gabturquetti,2010-05-30T00:08:51.000Z,"E estudar para o simulado que é bom, nada né?"
30,gabizinha,@gabturquetti,2010-05-30T00:08:12.000Z,"Porra. Hoje foi um dia nada produtivo, só comi e dormi."
31,gabizinha,@gabturquetti,2010-05-29T23:51:07.000Z,"you, me, we'll work it out"
32,gabizinha,@gabturquetti,2010-05-29T15:38:35.000Z,http://www.youtube.com/watch?v=F1XAITacPM4
33,gabizinha,@gabturquetti,2010-05-29T14:40:59.000Z,"@filecomfritas
 Nem lembra mais né? :("
34,gabizinha,@gabturquetti,2010-05-29T13:59:25.000Z,"""smart is the new sexy"""
35,gabizinha,@gabturquetti,2010-05-29T13:31:37.000Z,"Em resposta a 
@marinafonsecaw@unsaidthingsq THEY ARE THE EGGMAN"
36,gabizinha,@gabturquetti,2010-05-29T01:35:27.000Z,"bateu uma saudade <3 @justmyluckq @unsaidthingsq 
@causw"
37,gabizinha,@gabturquetti,2010-05-28T21:28:49.000Z,GARY COLEMAN MORREU?
38,gabizinha,@gabturquetti,2010-05-28T18:22:13.000Z,"mas que preguiça de fazer meu dever de música, rs."
39,gabizinha,@gabturquetti,2010-05-28T18:05:12.000Z,"Camarim do Restart, é mais legal com o 
@RestartBrasilia
 III ! =D"
40,gabizinha,@gabturquetti,2010-05-28T00:07:29.000Z,I DOOOOOOOOOOOOOOON'T MIND
41,gabizinha,@gabturquetti,2010-05-27T00:08:55.000Z,pau no cu do formspring
42,gabizinha,@gabturquetti,2010-05-26T23:59:09.000Z,@giuterraza AW! *-* Estou indo! hahahaha
43,gabizinha,@gabturquetti,2010-05-26T23:54:28.000Z,"E eu estou com saudade dela, tô sozinha."
44,gabizinha,@gabturquetti,2010-05-26T23:53:33.000Z,Minha mãe foi pra sampa e eu nem sei que horas ela chega lá.
45,gabizinha,@gabturquetti,2010-05-26T20:26:56.000Z,tava com  saudade de ouvir i am the walrus....
46,gabizinha,@gabturquetti,2010-05-26T19:19:41.000Z,"when I tell you that i love, you gonna say you love me too"
47,gabizinha,@gabturquetti,2010-05-26T19:14:08.000Z,Mamãe viajou hoje :/
48,gabizinha,@gabturquetti,2010-05-25T00:19:23.000Z,"Os filmes do Gus Van Sant são do tipo de filme que você precisa parar pensar para entender que mensagem ele quis passar, ele é foda pqp"
49,gabizinha,@gabturquetti,2010-05-24T22:00:42.000Z,"PQP! Daqui a um mês eu tiro o aparelho superior O_O"""
50,gabizinha,@gabturquetti,2010-05-24T01:15:38.000Z,"nossa, saudade de ouvir essa musica http://www.youtube.com/watch?v=Bi5sbj3JhLk&feature=related"
51,gabizinha,@gabturquetti,2010-05-24T00:45:22.000Z,http://www.youtube.com/watch?v=AiiJlweN9Ds HAHAHAHHAHAHAHAHHAHAHAHAHHAHAHAHHAHAHAHAHHAHAHAHA
52,gabizinha,@gabturquetti,2010-05-23T20:09:16.000Z,"matei a saudade da 
@annajota
 e do 
@itallorafael
 <3"
53,gabizinha,@gabturquetti,2010-05-23T18:53:23.000Z,baby come dance with me on tv at the tv station
54,gabizinha,@gabturquetti,2010-05-23T16:04:05.000Z,"preciso de um show do 
@moveis
, rs."
55,gabizinha,@gabturquetti,2010-05-23T15:56:12.000Z,"eu sinceramente preciso de ir a um brechó, preciso."
56,gabizinha,@gabturquetti,2010-05-23T04:07:11.000Z,"E aonde está o vinni quando eu realmente preciso falar com ele? Porra, são só uma hora da manhã"
57,gabizinha,@gabturquetti,2010-05-22T16:55:28.000Z,"Em resposta a 
@xsamadhi@italloRafael
 irônia, rs. Mas o forrozinho tava bom ontem hein? -n ai vou parar com isso."
58,gabizinha,@gabturquetti,2010-05-22T16:54:49.000Z,"Em resposta a 
@xsamadhi@italloRafael
 Você tá por fora, acha que eu só curto rock é?"
59,gabizinha,@gabturquetti,2010-05-22T16:54:27.000Z,"Em resposta a 
@xsamadhi@italloRafael
 HAEUHEUUHAEUEHAUEHUAEIUEHAIUHEIUAHEIUHEIUHEIUHAEIUHEIUHEUIEIUHEUIHAEUIIUAEHHAEUIHAEUIHIUEHIAUEHIUAEHAHUIEHIAEUHAIUEHUIAEHAEHUI"
60,gabizinha,@gabturquetti,2010-05-28T00:07:29.000Z,I DOOOOOOOOOOOOOOON'T MIND
61,gabizinha,@gabturquetti,2010-05-27T00:08:55.000Z,pau no cu do formspring
62,gabizinha,@gabturquetti,2010-05-26T23:59:09.000Z,@giuterraza AW! *-* Estou indo! hahahaha
63,gabizinha,@gabturquetti,2010-05-26T23:54:28.000Z,"E eu estou com saudade dela, tô sozinha."
