,0,1,2,3
0,gabizinha,@gabturquetti,2011-12-30T23:35:19.000Z,o que comer?
1,gabizinha,@gabturquetti,2011-12-30T23:18:47.000Z,@trustnocow ela agradeceu awn
2,gabizinha,@gabturquetti,2011-12-30T23:07:36.000Z,@trustnocow cheguei em casa com ela quase vomitando todos os órgãos :((
3,gabizinha,@gabturquetti,2011-12-30T23:04:09.000Z,"Em resposta a 
@provavelpravoce@provavelpravoce
 amg eu to no tablet jaja vou pro pc"
4,gabizinha,@gabturquetti,2011-12-30T23:02:38.000Z,"@iandieb
 kkkkkk só quero uma L2 que passe ônibus com mais frequência"
5,gabizinha,@gabturquetti,2011-12-30T23:00:03.000Z,ai mãe faz isso comigo não :(
6,gabizinha,@gabturquetti,2011-12-30T15:10:43.000Z,"@trustnocow se hoje nao continuar chovendo, maybe te levarei na torre <3 mas vou para aí de qualquer forma"
7,gabizinha,@gabturquetti,2011-12-30T07:25:17.000Z,"ai ps3, here i go"
8,gabizinha,@gabturquetti,2011-12-30T07:22:00.000Z,"não que eu reclame das duas, mas eu sinceramente queria dormir :("
9,gabizinha,@gabturquetti,2011-12-30T07:21:39.000Z,Acho que não me resta muitas opções além de: ver star trek ou jogar ps3
10,gabizinha,@gabturquetti,2011-12-30T07:04:43.000Z,MAS PQ VC NAO CICATRIZA LOGO ORELHA? Você me faz perder o sono
11,gabizinha,@gabturquetti,2011-12-30T02:10:18.000Z,"ou seja, entendo nada"
12,gabizinha,@gabturquetti,2011-12-30T02:10:04.000Z,minha mae fala e eu entendo: ahisurhismorwgixu hnxuweoisfmxweouxnowehumheouihoweuhuihnsimeuhnuowduohnwocih
13,gabizinha,@gabturquetti,2011-12-30T01:21:25.000Z,STALKER NIVEL CSI. ESTÁ É MINHA @PPLEASEGODIE
14,gabizinha,@gabturquetti,2011-12-30T01:01:41.000Z,se ainda tiver ne
15,gabizinha,@gabturquetti,2011-12-30T00:55:35.000Z,ai acho que vou fazer pão de queijo
16,gabizinha,@gabturquetti,2011-12-29T19:34:39.000Z,"Em resposta a 
@privetohan@ohanaberger awn <3 temos que matar a saudade!! :("
17,gabizinha,@gabturquetti,2011-12-29T07:10:14.000Z,Recomendo: acordar de tanta dor
18,gabizinha,@gabturquetti,2011-12-28T23:43:09.000Z,acho que vou ali maltratar um pouquinho mais minha orelhinha
19,gabizinha,@gabturquetti,2011-12-28T23:39:52.000Z,Ai to vendo muita gente esquisita em Brasília ultimamente kkk
20,gabizinha,@gabturquetti,2011-12-28T23:28:00.000Z,"you had to sneak into my room, just to read my diary. It was just to see all the things you knew i'd written about you"
21,gabizinha,@gabturquetti,2011-12-28T23:22:09.000Z,but i love more than lifeeeeeeeee
22,gabizinha,@gabturquetti,2011-12-28T23:07:23.000Z,MELHOR DIA DA MINHA VIDA KKKKKKKKKKKKKKK
23,gabizinha,@gabturquetti,2011-12-28T23:06:31.000Z,POSTEI UMA FOTO E DEU 33 NOTES! HOLY SHIT
24,gabizinha,@gabturquetti,2011-12-28T22:43:11.000Z,@voldemortmeama ela disse que fica sim haha
25,gabizinha,@gabturquetti,2011-12-28T22:40:15.000Z,@voldemortmeama vou ver com ela (:
26,gabizinha,@gabturquetti,2011-12-28T22:35:52.000Z,"@voldemortmeama menina, minha amg disse que ja tava fazendo! haha"
27,gabizinha,@gabturquetti,2011-12-28T23:28:00.000Z,"you had to sneak into my room, just to read my diary. It was just to see all the things you knew i'd written about you"
28,gabizinha,@gabturquetti,2011-12-28T23:22:09.000Z,but i love more than lifeeeeeeeee
29,gabizinha,@gabturquetti,2011-12-28T23:07:23.000Z,MELHOR DIA DA MINHA VIDA KKKKKKKKKKKKKKK
30,gabizinha,@gabturquetti,2011-12-28T23:06:31.000Z,POSTEI UMA FOTO E DEU 33 NOTES! HOLY SHIT
31,gabizinha,@gabturquetti,2011-12-28T22:43:11.000Z,@voldemortmeama ela disse que fica sim haha
32,gabizinha,@gabturquetti,2011-12-28T22:40:15.000Z,@voldemortmeama vou ver com ela (:
33,gabizinha,@gabturquetti,2011-12-28T22:35:52.000Z,"@voldemortmeama menina, minha amg disse que ja tava fazendo! haha"
34,gabizinha,@gabturquetti,2011-12-28T22:32:15.000Z,mais 3mm e eu sou só felicidade
35,gabizinha,@gabturquetti,2011-12-28T22:15:51.000Z,@trustnocow QUERO AS NOSSAS FOTOSS
36,gabizinha,@gabturquetti,2011-12-28T22:14:51.000Z,ai cheguei em casa. @trustnocow linda como sempre <3
37,gabizinha,@gabturquetti,2011-12-28T16:01:01.000Z,"Em resposta a 
@wandLinha@amandlaa
 mas pelo menos ele é fiel! <3"
38,gabizinha,@gabturquetti,2011-12-28T16:00:37.000Z,"Em resposta a 
@wandLinha@amandlaa
 parece até autista"
39,gabizinha,@gabturquetti,2011-12-28T16:00:24.000Z,"Em resposta a 
@wandLinha@amandlaa
 ai é verdade!!! sempre me esqueço de tão presente que meu maridinho é, ele fica lá parado, balançando :("
40,gabizinha,@gabturquetti,2011-12-28T15:44:03.000Z,"ai almoço fica pronto logo, tenho que ir no conicc e depois ver a cauzinhaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"
41,gabizinha,@gabturquetti,2011-12-28T15:40:22.000Z,@trustnocow daqui a 1h20 aaa
42,gabizinha,@gabturquetti,2011-12-28T15:18:55.000Z,nhaaaaa vou ver minha linda (@trustnocow) mais tarde <3
43,gabizinha,@gabturquetti,2011-12-28T15:18:26.000Z,MAS QUE SAUDADE QUE EU TAVA DAQUELE SOTAQUE GAÚCHOO <3<3<3<3<3<3
44,gabizinha,@gabturquetti,2011-12-28T15:04:49.000Z,"Mas que impasse que eu estou, compro um alargador de 6mm e espero pacientemente a orelha alargar sozinha ou vou forço até os meus 8mm?"
45,gabizinha,@gabturquetti,2011-12-28T14:36:35.000Z,"Em resposta a 
@wandLinha@amandlaa
 vou ali pegar meu alicate pra entortar eles aqui"
46,gabizinha,@gabturquetti,2011-12-28T14:36:09.000Z,"Em resposta a 
@wandLinha@amandlaa
 aham! <3<3<3<3"
47,gabizinha,@gabturquetti,2011-12-28T14:35:13.000Z,YES Vou conseguir pagar meu ingresso do los hermanos com as minhas moedinhas
48,gabizinha,@gabturquetti,2011-12-28T14:14:52.000Z,AI ESSA @TRUSTNOCOW NAO ME RESPONDE
