,0,1,2,3
871,gabizinha,@gabturquetti,2009-06-20T15:10:05.000Z,computer dont work
872,gabizinha,@gabturquetti,2009-06-20T15:06:11.000Z,"dia 24, vai tá lá o O.M.G gravando uma musica do nevershoutnever nos fundos do park shopping, legal."
873,gabizinha,@gabturquetti,2009-06-20T15:04:28.000Z,"Em resposta a 
@xsamadhi@italloRafael
 O_O twitter louco D:"
874,gabizinha,@gabturquetti,2009-06-20T14:59:58.000Z,"Em resposta a 
@xsamadhi@italloRafael
  QUE INVEJAAAAAAAAAAAA D: O TOM NUNCA ME RESPONDEU D: nem a mamae dele, nem a gio, nem a irmãnzinha dele D:"
875,gabizinha,@gabturquetti,2009-06-20T14:58:17.000Z,downtown fiction sounds AWESOME!
876,gabizinha,@gabturquetti,2009-06-20T14:57:25.000Z,"Em resposta a 
@xsamadhi@italloRafael
 eu vou segui-los até eles enjoarem dotwitter, isto é não tão cedo"
877,gabizinha,@gabturquetti,2009-06-20T14:55:06.000Z,"Em resposta a 
@xsamadhi@italloRafael
 tipo, a muito tempo atras, ele mostrou um baixo MUITO FODAO, talvez esse seja o famoso Drew"
878,gabizinha,@gabturquetti,2009-06-20T14:54:35.000Z,"Em resposta a 
@xsamadhi@italloRafael
  AAAAAAAAAAAAH HAHAHAHA xD só tenho 2 anos de ingles DD: ah seilá, eu acho que eu sei qual é o novo baixo dele.."
879,gabizinha,@gabturquetti,2009-06-20T14:52:43.000Z,"@luanafletcher
 tomzin venk me dar um iPHONE"
880,gabizinha,@gabturquetti,2009-06-20T14:52:13.000Z,"ckeck out my bio/profile, i dont how you tell it, but check this out ! I LOVED xD"
881,gabizinha,@gabturquetti,2009-06-20T14:49:39.000Z,"@luanafletcher
 simsim, esses bandirico, aposta quanto que ele comprou outro iPHONE?VIADO"
882,gabizinha,@gabturquetti,2009-06-20T14:48:58.000Z,"Em resposta a 
@xsamadhi@italloRafael
  WOW não entendi nada agora xD"
883,gabizinha,@gabturquetti,2009-06-20T14:44:42.000Z,"downloading iTUNES, ok somebody give me an Ipod, i need one D:"
884,gabizinha,@gabturquetti,2009-06-20T14:44:09.000Z,"@luanafletcher
  eu nem entrei ontem direito, mas eu vi o harry falando EU TE AMO"
885,gabizinha,@gabturquetti,2009-06-20T14:41:45.000Z,"Em resposta a 
@xsamadhi@italloRafael
 i think it was Doug, he said that he has a new bass and it name is DREW ._. , or something like :s"
886,gabizinha,@gabturquetti,2009-06-20T14:40:46.000Z,"@luanafletcher
 ATORON TIRAR TEU BARATO :B brinks pode twittar o quanto tu quiser ok ? :B"
887,gabizinha,@gabturquetti,2009-06-20T14:36:31.000Z,"@luanafletcher
  eu sei  xD tipo mas ACALMA, RESPIRE 1 2 3 INSPIRE !"
888,gabizinha,@gabturquetti,2009-06-20T14:36:08.000Z,"Em resposta a 
@xsamadhi@italloRafael
 yes , REALLYY EARLY G_G"
889,gabizinha,@gabturquetti,2009-06-20T15:10:05.000Z,computer dont work
890,gabizinha,@gabturquetti,2009-06-20T15:06:11.000Z,"dia 24, vai tá lá o O.M.G gravando uma musica do nevershoutnever nos fundos do park shopping, legal."
891,gabizinha,@gabturquetti,2009-06-20T15:04:28.000Z,"Em resposta a 
@xsamadhi@italloRafael
 O_O twitter louco D:"
892,gabizinha,@gabturquetti,2009-06-20T14:59:58.000Z,"Em resposta a 
@xsamadhi@italloRafael
  QUE INVEJAAAAAAAAAAAA D: O TOM NUNCA ME RESPONDEU D: nem a mamae dele, nem a gio, nem a irmãnzinha dele D:"
893,gabizinha,@gabturquetti,2009-06-20T14:58:17.000Z,downtown fiction sounds AWESOME!
894,gabizinha,@gabturquetti,2009-06-20T14:57:25.000Z,"Em resposta a 
@xsamadhi@italloRafael
 eu vou segui-los até eles enjoarem dotwitter, isto é não tão cedo"
895,gabizinha,@gabturquetti,2009-06-20T14:55:06.000Z,"Em resposta a 
@xsamadhi@italloRafael
 tipo, a muito tempo atras, ele mostrou um baixo MUITO FODAO, talvez esse seja o famoso Drew"
896,gabizinha,@gabturquetti,2009-06-20T14:54:35.000Z,"Em resposta a 
@xsamadhi@italloRafael
  AAAAAAAAAAAAH HAHAHAHA xD só tenho 2 anos de ingles DD: ah seilá, eu acho que eu sei qual é o novo baixo dele.."
897,gabizinha,@gabturquetti,2009-06-20T14:52:43.000Z,"@luanafletcher
 tomzin venk me dar um iPHONE"
898,gabizinha,@gabturquetti,2009-06-20T14:52:13.000Z,"ckeck out my bio/profile, i dont how you tell it, but check this out ! I LOVED xD"
899,gabizinha,@gabturquetti,2009-06-20T14:49:39.000Z,"@luanafletcher
 simsim, esses bandirico, aposta quanto que ele comprou outro iPHONE?VIADO"
900,gabizinha,@gabturquetti,2009-06-20T14:48:58.000Z,"Em resposta a 
@xsamadhi@italloRafael
  WOW não entendi nada agora xD"
901,gabizinha,@gabturquetti,2009-06-20T14:44:42.000Z,"downloading iTUNES, ok somebody give me an Ipod, i need one D:"
902,gabizinha,@gabturquetti,2009-06-20T14:44:09.000Z,"@luanafletcher
  eu nem entrei ontem direito, mas eu vi o harry falando EU TE AMO"
