,0,1,2,3
0,gabizinha,@gabturquetti,2011-05-30T23:58:07.000Z,"Em resposta a 
@tayrodriigues@taynara_judd Ah! tudo bem. A gente se vê algum dia aí de tarde, dou um pulo ai na 3 e é noix :)"
1,gabizinha,@gabturquetti,2011-05-30T23:25:50.000Z,Aceito doações para a compra de um nariz novo :)
2,gabizinha,@gabturquetti,2011-05-29T22:54:37.000Z,"My Top 3 #lastfm Artists: John Mayer (26), Arctic Monkeys (20) & Elvis Presley (11) http://bit.ly/dp5r3U"
3,gabizinha,@gabturquetti,2011-05-29T22:19:52.000Z,"Finalmente arrumei meu tumblr, aquilo tava triste demais."
4,gabizinha,@gabturquetti,2011-05-29T22:18:51.000Z,"Em resposta a 
@babibch@ppleasegodie Não sei, aquele ""rs"" não me convenceu... HAEIHAEIUHAE EU SEI QUE VOCÊ ME AMA S2S2"
5,gabizinha,@gabturquetti,2011-05-29T22:16:33.000Z,"Finalmente ouvi o Suck it and See, caralho, tô no words, É MUITO FODA PUTA QUE PARIU"
6,gabizinha,@gabturquetti,2011-05-29T18:32:01.000Z,E essa secura que tá fudendo minha pele?
7,gabizinha,@gabturquetti,2011-05-29T18:31:45.000Z,"Em resposta a 
@babibch@ppleasegodie Senti uma ironia em tal frase, mas eu te amo de qualquer jeito sua emo <3"
8,gabizinha,@gabturquetti,2011-05-29T18:22:12.000Z,"Finalmente baixei o novo cd do arctic mokeys, todo mundo já decorou o cd e eu aqui"
9,gabizinha,@gabturquetti,2011-05-29T17:28:24.000Z,You're all i need: Anti-alérgico
10,gabizinha,@gabturquetti,2011-05-29T17:26:27.000Z,"Em resposta a 
@babibch@ppleasegodie Tocou foi pouco hein HAEUIHAEIUAHE"
11,gabizinha,@gabturquetti,2011-05-29T17:24:13.000Z,"Em resposta a 
@tayrodriigues@taynara_judd se tu for pro alubs, noix vai junto :) aeee"
12,gabizinha,@gabturquetti,2011-05-29T17:11:41.000Z,http://www.youtube.com/watch?v=ipVnlKtzQ4c&feature=related
13,gabizinha,@gabturquetti,2011-05-29T17:08:46.000Z,"Em resposta a 
@tayrodriigues@taynara_judd Ele é embaixo do sebinho, kisabor (HAEUIHAEIUHAE) é noix?"
14,gabizinha,@gabturquetti,2011-05-29T17:06:41.000Z,"Em resposta a 
@tayrodriigues@taynara_judd hmmm... fuck. AH TEM UM AQUI NA 406n serve? k"
15,gabizinha,@gabturquetti,2011-05-29T17:04:21.000Z,"Em resposta a 
@tayrodriigues@taynara_judd perto da nossa home?"
16,gabizinha,@gabturquetti,2011-05-29T17:01:22.000Z,"Em resposta a 
@tayrodriigues@taynara_judd terça é noix! hm.... subway? :D"
17,gabizinha,@gabturquetti,2011-05-29T16:58:25.000Z,"Em resposta a 
@tayrodriigues@taynara_judd poxa, quando ce tá free?"
18,gabizinha,@gabturquetti,2011-05-29T16:53:30.000Z,"Em resposta a 
@tayrodriigues@taynara_judd ai não ): que dia que você não estuda afinal? heaiuaheiuahe bora almoçar algum dia junto?"
19,gabizinha,@gabturquetti,2011-05-29T16:49:41.000Z,"@taynara_judd Gata, o que você vai fazer hoje? :D"
20,gabizinha,@gabturquetti,2011-05-29T22:54:37.000Z,"My Top 3 #lastfm Artists: John Mayer (26), Arctic Monkeys (20) & Elvis Presley (11) http://bit.ly/dp5r3U"
21,gabizinha,@gabturquetti,2011-05-29T22:19:52.000Z,"Finalmente arrumei meu tumblr, aquilo tava triste demais."
22,gabizinha,@gabturquetti,2011-05-29T22:18:51.000Z,"Em resposta a 
@babibch@ppleasegodie Não sei, aquele ""rs"" não me convenceu... HAEIHAEIUHAE EU SEI QUE VOCÊ ME AMA S2S2"
23,gabizinha,@gabturquetti,2011-05-29T22:16:33.000Z,"Finalmente ouvi o Suck it and See, caralho, tô no words, É MUITO FODA PUTA QUE PARIU"
24,gabizinha,@gabturquetti,2011-05-29T18:32:01.000Z,E essa secura que tá fudendo minha pele?
25,gabizinha,@gabturquetti,2011-05-29T18:31:45.000Z,"Em resposta a 
@babibch@ppleasegodie Senti uma ironia em tal frase, mas eu te amo de qualquer jeito sua emo <3"
26,gabizinha,@gabturquetti,2011-05-29T18:22:12.000Z,"Finalmente baixei o novo cd do arctic mokeys, todo mundo já decorou o cd e eu aqui"
27,gabizinha,@gabturquetti,2011-05-29T17:28:24.000Z,You're all i need: Anti-alérgico
28,gabizinha,@gabturquetti,2011-05-29T17:26:27.000Z,"Em resposta a 
@babibch@ppleasegodie Tocou foi pouco hein HAEUIHAEIUAHE"
29,gabizinha,@gabturquetti,2011-05-29T17:24:13.000Z,"Em resposta a 
@tayrodriigues@taynara_judd se tu for pro alubs, noix vai junto :) aeee"
30,gabizinha,@gabturquetti,2011-05-29T17:11:41.000Z,http://www.youtube.com/watch?v=ipVnlKtzQ4c&feature=related
31,gabizinha,@gabturquetti,2011-05-29T17:08:46.000Z,"Em resposta a 
@tayrodriigues@taynara_judd Ele é embaixo do sebinho, kisabor (HAEUIHAEIUHAE) é noix?"
32,gabizinha,@gabturquetti,2011-05-29T17:06:41.000Z,"Em resposta a 
@tayrodriigues@taynara_judd hmmm... fuck. AH TEM UM AQUI NA 406n serve? k"
33,gabizinha,@gabturquetti,2011-05-29T17:04:21.000Z,"Em resposta a 
@tayrodriigues@taynara_judd perto da nossa home?"
34,gabizinha,@gabturquetti,2011-05-29T17:01:22.000Z,"Em resposta a 
@tayrodriigues@taynara_judd terça é noix! hm.... subway? :D"
35,gabizinha,@gabturquetti,2011-05-29T16:58:25.000Z,"Em resposta a 
@tayrodriigues@taynara_judd poxa, quando ce tá free?"
36,gabizinha,@gabturquetti,2011-05-29T16:53:30.000Z,"Em resposta a 
@tayrodriigues@taynara_judd ai não ): que dia que você não estuda afinal? heaiuaheiuahe bora almoçar algum dia junto?"
37,gabizinha,@gabturquetti,2011-05-29T16:49:41.000Z,"@taynara_judd Gata, o que você vai fazer hoje? :D"
38,gabizinha,@gabturquetti,2011-05-29T16:47:15.000Z,Hoje o dia tá tão feliz e radiante que eu vou ouvir Radiohead pra entrar no clima
39,gabizinha,@gabturquetti,2011-05-29T16:35:10.000Z,Aiai essa @ppleasegodie é uma graça no telefone com o bofe
40,gabizinha,@gabturquetti,2011-05-25T23:00:40.000Z,"Em resposta a 
@jelly_boones@jelly_boones
 gata da toalha, você não é 42 mas é a minha resposta pra vida, o universo e tudo mais. FELIZ DIA DA TOALHA SUA LINDA!"
41,gabizinha,@gabturquetti,2011-05-25T22:56:05.000Z,"Aliás, feliz dia da toalha!"
42,gabizinha,@gabturquetti,2011-05-23T17:34:15.000Z,"Em resposta a 
@babibch@ppleasegodie MMMMMMMMMOITO AEUIEHIUEHIUEAH"
43,gabizinha,@gabturquetti,2011-05-23T17:32:37.000Z,Bowie sempre tirando as palavras da minha boca..
44,gabizinha,@gabturquetti,2011-05-22T23:41:36.000Z,"Em resposta a 
@babibch@ppleasegodie Desde ontem de manha meu amorzinho :D"
45,gabizinha,@gabturquetti,2011-05-22T23:41:21.000Z,"Nossa, to passando mal até agora. Fui inventar de andar de barco pra quase por o que não tinha no meu estômago pra fora :("
46,gabizinha,@gabturquetti,2011-05-22T23:40:31.000Z,O SHOW DO PAUL É AMANHA FUCK YEAHHHHHHHHHHH <3
47,gabizinha,@gabturquetti,2011-05-22T19:34:38.000Z,"My Top 3 #lastfm Artists: Belle and Sebastian (48), The Beatles (42) & Radiohead (29) http://bit.ly/dp5r3U"
48,gabizinha,@gabturquetti,2011-05-22T14:03:56.000Z,"Mcfly tá no Rio também, nem sabia genteeeee"
49,gabizinha,@gabturquetti,2011-05-22T14:03:24.000Z,E a saudade que eu tô do meu computador? HEAEIUH fuu
50,gabizinha,@gabturquetti,2011-05-22T14:02:54.000Z,"Pois é véi, amanhã....melhor ainda é porque eu vou no show com a @doisgnomos :DD"
51,gabizinha,@gabturquetti,2011-05-22T14:01:55.000Z,@iedamariaff HAUIAEIUHAIUHEIUAHIUAEHEAIUH
52,gabizinha,@gabturquetti,2011-05-21T22:42:27.000Z,"Ué, o mundo esqueceu de acabar?"
53,gabizinha,@gabturquetti,2011-05-21T15:59:38.000Z,meu irmão é um limduh <3
54,gabizinha,@gabturquetti,2011-05-21T15:58:25.000Z,Meu irmão: VOCÊ SÓ PODE SER FÃ DE STAR WARS OU STAR TREK. SE VOCÊ VIRAR FÃ DE STAR TREK VOCÊ NAO É MINHA IRMÃ
55,gabizinha,@gabturquetti,2011-05-21T15:54:53.000Z,@iedamariaff FALA! PORQUE ASSIM ELE LARGA DELA E........CREU HAHAHAHA
56,gabizinha,@gabturquetti,2011-05-21T15:52:53.000Z,"Em resposta a 
@annajota@annajota
 ai que lindo meu amor! Sério, tô mtmtmtmtmtmtmtmtmtmtmt feliz por você <333"
57,gabizinha,@gabturquetti,2011-05-21T15:50:22.000Z,"Em resposta a 
@jelly_boones@jelly_boones
 HAHAHAHAHAHA MT RYCA VO NA ARQUIBANCADA INFERIOR"
58,gabizinha,@gabturquetti,2011-05-29T16:35:10.000Z,Aiai essa @ppleasegodie é uma graça no telefone com o bofe
