,0,1,2,3
0,gabizinha,@gabturquetti,2014-12-30T20:35:20.000Z,alguem pra ir no crepe comigo por favorzinho
1,gabizinha,@gabturquetti,2014-12-30T16:55:57.000Z,@iedamariaff jesus que terrível!!!!!
2,gabizinha,@gabturquetti,2014-12-30T16:52:23.000Z,@iedamariaff menina não dei desses paranaues mas protetor não dá um help não? D;
3,gabizinha,@gabturquetti,2014-12-30T01:03:17.000Z,"Em resposta a 
@a_forasteira@a_forasteira
 SIM!!!!!! Concordo demais"
4,gabizinha,@gabturquetti,2014-12-29T22:58:06.000Z,"@nomoretea
 muito msm"
5,gabizinha,@gabturquetti,2014-12-29T22:55:19.000Z,"Em resposta a 
@wandLinha@AmandLaGandhi
 kkkkkkkkkkk ai amiga ce é d+"
6,gabizinha,@gabturquetti,2014-12-29T22:45:35.000Z,"@nomoretea
 @meirritei
 nossa nem me fale, so vejo voces separadamente :( foi em 2009, então 5 anos :("
7,gabizinha,@gabturquetti,2014-12-29T22:44:36.000Z,"@meirritei
 @nomoretea
 vamos fazer"
8,gabizinha,@gabturquetti,2014-12-29T22:40:53.000Z,"@meirritei
 @nomoretea
 eba mande mesmo estou ansiosa"
9,gabizinha,@gabturquetti,2014-12-29T22:40:31.000Z,"@meirritei
 @nomoretea
 OBA ESCREVE MSM"
10,gabizinha,@gabturquetti,2014-12-29T22:39:59.000Z,"@meirritei
 12"
11,gabizinha,@gabturquetti,2014-12-29T22:39:46.000Z,"@nomoretea
 @meirritei
 cau vai ahazar naquele rio de janeiro abalar as ixtruturax"
12,gabizinha,@gabturquetti,2014-12-29T22:38:43.000Z,"@meirritei
 ai peguei curso nas possiveis areas que eu quero me especializar :D"
13,gabizinha,@gabturquetti,2014-12-29T22:37:56.000Z,"@meirritei
 é a escola de verao do iag (é o instituto de geociencias deles), ai tem altos cursos de uma semana sobre geofisica, é mt legal"
14,gabizinha,@gabturquetti,2014-12-29T22:35:36.000Z,"@meirritei
 que chiqueeee eu só vou pra sp em fevereiro fazer um curso na usp"
15,gabizinha,@gabturquetti,2014-12-29T22:19:08.000Z,"@meirritei
 uauuuuuuuu vai pra ondeeee"
16,gabizinha,@gabturquetti,2014-12-29T22:11:38.000Z,"@meirritei
 pq nao lindinha???"
17,gabizinha,@gabturquetti,2014-12-29T22:09:10.000Z,"@meirritei
 Tudo certooooooo to mt feliz, consegui minha querida materia de verão aqui da unb"
18,gabizinha,@gabturquetti,2014-12-29T22:04:03.000Z,"@meirritei
 TUDO BOMMMM?"
19,gabizinha,@gabturquetti,2014-12-29T22:03:09.000Z,"@meirritei
 OI"
20,gabizinha,@gabturquetti,2014-12-29T16:23:30.000Z,CONSEGUI FISICA 3 CHUPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
21,gabizinha,@gabturquetti,2014-12-28T23:31:03.000Z,"@meirritei
 ai :(((((((((("
22,gabizinha,@gabturquetti,2014-12-28T23:29:29.000Z,"@meirritei
 N CREIO QUE VOCE NAO COMPROUUUU"
23,gabizinha,@gabturquetti,2014-12-28T05:41:18.000Z,@rbarcellostm ~~~~* sOu ++++ EuUu *~~~~
24,gabizinha,@gabturquetti,2014-12-28T05:40:43.000Z,@rbarcellostm so lamento
25,gabizinha,@gabturquetti,2014-12-28T05:39:18.000Z,"@rbarcellostm concordo viu, so vejo as piranha no teu celular"
26,gabizinha,@gabturquetti,2014-12-28T05:38:17.000Z,@rbarcellostm trofeuzinho de merda viu kkkkkkk
27,gabizinha,@gabturquetti,2014-12-28T05:37:19.000Z,@rbarcellostm ta mt exaltado
28,gabizinha,@gabturquetti,2014-12-28T05:36:16.000Z,@rbarcellostm que isso cara
29,gabizinha,@gabturquetti,2014-12-27T18:30:34.000Z,"Alguém pra tomar sorvete comigo, por favorzinho"
30,gabizinha,@gabturquetti,2014-12-27T12:21:42.000Z,Sonhar com o gp também não dá né? Já estraga meu dia antes mesmo de começar ele
31,gabizinha,@gabturquetti,2014-12-27T02:06:16.000Z,"@meirritei
 só vem gataaa, pena que lá é caro :( aí me contento com uns achados na marisa"
32,gabizinha,@gabturquetti,2014-12-27T02:00:03.000Z,"@meirritei
 tem essa loja aqui!! vem pra ca agora"
33,gabizinha,@gabturquetti,2014-12-26T22:02:30.000Z,"Em resposta a 
@philosopop@philosopop
 @prcker
 @tomiloveyou
 @a_forasteira
 @manuelaamaral
 <333333"
34,gabizinha,@gabturquetti,2014-12-25T14:26:21.000Z,AHHHH COMO EU AMO RABANADA
35,gabizinha,@gabturquetti,2014-12-25T14:24:36.000Z,O que dizer sobre toda a rabanada que sobrou que vai ser meu café da manhã até.mt.tempo?
36,gabizinha,@gabturquetti,2014-12-24T21:14:19.000Z,@rbarcellostm tá faltando pano
37,gabizinha,@gabturquetti,2014-12-24T00:32:50.000Z,morta morrida matada
38,gabizinha,@gabturquetti,2014-12-23T08:54:14.000Z,"Pronta porém, embaixo das cobertas"
39,gabizinha,@gabturquetti,2014-12-23T08:54:03.000Z,Bom dia
40,gabizinha,@gabturquetti,2014-12-29T16:23:30.000Z,CONSEGUI FISICA 3 CHUPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
41,gabizinha,@gabturquetti,2014-12-28T23:31:03.000Z,"@meirritei
 ai :(((((((((("
42,gabizinha,@gabturquetti,2014-12-28T23:29:29.000Z,"@meirritei
 N CREIO QUE VOCE NAO COMPROUUUU"
43,gabizinha,@gabturquetti,2014-12-28T05:41:18.000Z,@rbarcellostm ~~~~* sOu ++++ EuUu *~~~~
44,gabizinha,@gabturquetti,2014-12-28T05:40:43.000Z,@rbarcellostm so lamento
45,gabizinha,@gabturquetti,2014-12-28T05:39:18.000Z,"@rbarcellostm concordo viu, so vejo as piranha no teu celular"
46,gabizinha,@gabturquetti,2014-12-28T05:38:17.000Z,@rbarcellostm trofeuzinho de merda viu kkkkkkk
47,gabizinha,@gabturquetti,2014-12-28T05:37:19.000Z,@rbarcellostm ta mt exaltado
48,gabizinha,@gabturquetti,2014-12-28T05:36:16.000Z,@rbarcellostm que isso cara
49,gabizinha,@gabturquetti,2014-12-27T18:30:34.000Z,"Alguém pra tomar sorvete comigo, por favorzinho"
50,gabizinha,@gabturquetti,2014-12-27T12:21:42.000Z,Sonhar com o gp também não dá né? Já estraga meu dia antes mesmo de começar ele
51,gabizinha,@gabturquetti,2014-12-27T02:06:16.000Z,"@meirritei
 só vem gataaa, pena que lá é caro :( aí me contento com uns achados na marisa"
52,gabizinha,@gabturquetti,2014-12-27T02:00:03.000Z,"@meirritei
 tem essa loja aqui!! vem pra ca agora"
53,gabizinha,@gabturquetti,2014-12-26T22:02:30.000Z,"Em resposta a 
@philosopop@philosopop
 @prcker
 @tomiloveyou
 @a_forasteira
 @manuelaamaral
 <333333"
54,gabizinha,@gabturquetti,2014-12-25T14:26:21.000Z,AHHHH COMO EU AMO RABANADA
55,gabizinha,@gabturquetti,2014-12-25T14:24:36.000Z,O que dizer sobre toda a rabanada que sobrou que vai ser meu café da manhã até.mt.tempo?
56,gabizinha,@gabturquetti,2014-12-24T21:14:19.000Z,@rbarcellostm tá faltando pano
57,gabizinha,@gabturquetti,2014-12-24T00:32:50.000Z,morta morrida matada
58,gabizinha,@gabturquetti,2014-12-23T08:54:14.000Z,"Pronta porém, embaixo das cobertas"
59,gabizinha,@gabturquetti,2014-12-23T08:54:03.000Z,Bom dia
60,gabizinha,@gabturquetti,2014-12-22T15:53:20.000Z,"Em resposta a 
@privetohan@ohanaberger poxa :("
61,gabizinha,@gabturquetti,2014-12-22T15:50:23.000Z,"Em resposta a 
@privetohan@ohanaberger é simples"
62,gabizinha,@gabturquetti,2014-12-21T03:09:46.000Z,agora nada mais justo do que arrumar um espaço pra conseguir guardar todas as minhas apostilas
63,gabizinha,@gabturquetti,2014-12-21T03:09:14.000Z,mt feliz que consegui organizar minhas coisinhas
64,gabizinha,@gabturquetti,2014-12-21T03:08:42.000Z,e a mais cheia de cadernos
65,gabizinha,@gabturquetti,2014-12-21T03:08:35.000Z,esse semestre teve a pasta mais vazia de todos os tempos
66,gabizinha,@gabturquetti,2014-12-18T19:48:10.000Z,"@gabichaves_
 https://youtube.com/watch?v=ct-CdyT4HkM…"
67,gabizinha,@gabturquetti,2014-12-17T15:17:22.000Z,Mocassim mais lindo da face da terra esse wue eu comprei ontem
68,gabizinha,@gabturquetti,2014-12-17T11:01:54.000Z,"Em resposta a 
@gabichaves_@gabichaves_
 kkkkk duas cheirosas"
69,gabizinha,@gabturquetti,2014-12-16T15:13:40.000Z,"@gabichaves_
 MENINA TA DORMINDO ATÉ AGORA?"
70,gabizinha,@gabturquetti,2014-12-16T15:12:47.000Z,MS EM SEDIMENTO VEMK VAMOS CONVERSAR
71,gabizinha,@gabturquetti,2014-12-16T15:12:39.000Z,NA ESPERA DE UM MILAGRE
72,gabizinha,@gabturquetti,2014-12-15T23:48:36.000Z,"Em resposta a 
@gabichaves_@gabichaves_
 sou mesmo. Se eu ganhar meu ms fecho com 3,3 o ira, nota tosca"
73,gabizinha,@gabturquetti,2014-12-15T21:31:32.000Z,amanha to indo fazer prova de sedimento pq o abreu ainda nao quer me dar o ms
74,gabizinha,@gabturquetti,2014-12-15T21:10:24.000Z,Campo hoje foi show de bola
75,gabizinha,@gabturquetti,2014-12-15T09:39:53.000Z,bora pro lixaooooo
76,gabizinha,@gabturquetti,2014-12-15T03:06:39.000Z,"as unicas que pessoas que tem o direito de tirar onda são as que fazem geofisica, fora isso pode nao kk"
77,gabizinha,@gabturquetti,2014-12-15T03:04:15.000Z,"vem um mlk tirar onda com geofísica, e ainda achou ruim que eu apelei"
78,gabizinha,@gabturquetti,2014-12-15T03:03:58.000Z,ai amigos
79,gabizinha,@gabturquetti,2014-12-14T05:07:20.000Z,"e nunca esquecer o nivel de sensualidade atingido pela 
@surfinbird_
 hoje no la ursa"
80,gabizinha,@gabturquetti,2014-12-22T15:53:20.000Z,"Em resposta a 
@privetohan@ohanaberger poxa :("
81,gabizinha,@gabturquetti,2014-12-22T15:50:23.000Z,"Em resposta a 
@privetohan@ohanaberger é simples"
82,gabizinha,@gabturquetti,2014-12-21T03:09:46.000Z,agora nada mais justo do que arrumar um espaço pra conseguir guardar todas as minhas apostilas
83,gabizinha,@gabturquetti,2014-12-21T03:09:14.000Z,mt feliz que consegui organizar minhas coisinhas
84,gabizinha,@gabturquetti,2014-12-21T03:08:42.000Z,e a mais cheia de cadernos
85,gabizinha,@gabturquetti,2014-12-21T03:08:35.000Z,esse semestre teve a pasta mais vazia de todos os tempos
86,gabizinha,@gabturquetti,2014-12-18T19:48:10.000Z,"@gabichaves_
 https://youtube.com/watch?v=ct-CdyT4HkM…"
87,gabizinha,@gabturquetti,2014-12-17T15:17:22.000Z,Mocassim mais lindo da face da terra esse wue eu comprei ontem
88,gabizinha,@gabturquetti,2014-12-17T11:01:54.000Z,"Em resposta a 
@gabichaves_@gabichaves_
 kkkkk duas cheirosas"
89,gabizinha,@gabturquetti,2014-12-16T15:13:40.000Z,"@gabichaves_
 MENINA TA DORMINDO ATÉ AGORA?"
90,gabizinha,@gabturquetti,2014-12-16T15:12:47.000Z,MS EM SEDIMENTO VEMK VAMOS CONVERSAR
91,gabizinha,@gabturquetti,2014-12-16T15:12:39.000Z,NA ESPERA DE UM MILAGRE
92,gabizinha,@gabturquetti,2014-12-15T23:48:36.000Z,"Em resposta a 
@gabichaves_@gabichaves_
 sou mesmo. Se eu ganhar meu ms fecho com 3,3 o ira, nota tosca"
93,gabizinha,@gabturquetti,2014-12-15T21:31:32.000Z,amanha to indo fazer prova de sedimento pq o abreu ainda nao quer me dar o ms
94,gabizinha,@gabturquetti,2014-12-15T21:10:24.000Z,Campo hoje foi show de bola
95,gabizinha,@gabturquetti,2014-12-15T09:39:53.000Z,bora pro lixaooooo
96,gabizinha,@gabturquetti,2014-12-15T03:06:39.000Z,"as unicas que pessoas que tem o direito de tirar onda são as que fazem geofisica, fora isso pode nao kk"
97,gabizinha,@gabturquetti,2014-12-15T03:04:15.000Z,"vem um mlk tirar onda com geofísica, e ainda achou ruim que eu apelei"
98,gabizinha,@gabturquetti,2014-12-15T03:03:58.000Z,ai amigos
99,gabizinha,@gabturquetti,2014-12-14T05:07:20.000Z,"e nunca esquecer o nivel de sensualidade atingido pela 
@surfinbird_
 hoje no la ursa"
100,gabizinha,@gabturquetti,2014-12-14T05:06:57.000Z,chega 02h e eu ja arrego
101,gabizinha,@gabturquetti,2014-12-12T09:52:04.000Z,"@nomoretea
 kkkkkkk é.. Eu inventei de ver prison break, recomendo"
102,gabizinha,@gabturquetti,2014-12-12T09:48:30.000Z,"@nomoretea
 tenho reunião as 10h"
103,gabizinha,@gabturquetti,2014-12-12T09:28:22.000Z,"@nomoretea
 :("
104,gabizinha,@gabturquetti,2014-12-12T08:11:05.000Z,e agora nao consigo dormir
105,gabizinha,@gabturquetti,2014-12-12T08:10:57.000Z,n btf que acordo com o despertador da minha mae
106,gabizinha,@gabturquetti,2014-12-11T21:32:23.000Z,"@tomiloveyou
 né gata kkk fiquei feliz"
107,gabizinha,@gabturquetti,2014-12-11T21:28:19.000Z,Ms em dtg :)))
108,gabizinha,@gabturquetti,2014-12-11T05:19:51.000Z,@rbarcellostm ta mt exaltado
109,gabizinha,@gabturquetti,2014-12-10T23:16:43.000Z,Tomando meu  calmante pq não tô dando conta
110,gabizinha,@gabturquetti,2014-12-10T10:46:32.000Z,fazer compras as 10h hojee
