,endTime,artistName,trackName,minutedPlayed
72,2020-07-18 15:49:00,Lô Borges,Paisagem da Janela - Ao Vivo,0.0
73,2020-07-18 15:49:00,Maria Bethânia,Olhos Nos Olhos,0.30633333333333335
74,2020-07-18 15:49:00,Zeca Baleiro,Lenha,0.018566666666666665
75,2020-07-18 15:49:00,Chico Buarque,Construção,0.008416666666666666
76,2020-07-18 15:49:00,Caetano Veloso,O Quereres,0.0144
77,2020-07-18 15:49:00,Teresa Cristina,Corra e Olhe o Céu,0.00985
78,2020-07-18 15:49:00,Lenine,Paciência,0.0027166666666666667
79,2020-07-18 15:49:00,Patricia Marx,Espelhos D'água,0.0
80,2020-07-18 15:49:00,Gal Costa,Pérola Negra - Ao Vivo,0.013
81,2020-07-18 15:51:00,Secos & Molhados,Rosa de Hiroshima,1.9788833333333333
82,2020-07-18 15:55:00,Cartola,O Mundo É Um Moinho,3.92555
83,2020-07-18 15:59:00,Cazuza,Exagerado 3.0,3.7690166666666665
84,2020-07-18 16:03:00,Maria Gadú,Encontro,3.414
85,2020-07-18 16:03:00,Ana Carolina,Quem de nós Dois (La Mia Storia Tra Le Dita),0.37585
86,2020-07-18 16:07:00,Ney Matogrosso,Ex-Amor,4.096016666666666
87,2020-07-18 16:10:00,Caetano Veloso,Toda Menina Baiana - Live,3.378433333333333
88,2020-07-18 16:13:00,Toquinho,Aquarela,2.1313333333333335
89,2020-07-18 16:15:00,Marisa Monte,Depois,2.8931
90,2020-07-18 16:19:00,Maria Rita,Tá perdoado,3.7918333333333334
91,2020-07-18 16:21:00,Ivan Lins,Lembra de Mim,1.8219666666666667
92,2020-07-18 16:25:00,Caetano Veloso,Trilhos Urbanos,4.273783333333333
93,2020-07-18 16:29:00,Novos Baianos,Brasil Pandeiro,3.918433333333333
94,2020-07-18 16:33:00,Tim Maia,Que Beleza,3.47605
