,name,handle,time,tweet,video_id
0,gabizinha,@gabturquetti,2014-12-06 11:22:59-02:00,https://youtube.com/watch?v=89wXNo4Jn40… chorem comigo,89wXNo4Jn40
1,gabizinha,@gabturquetti,2014-12-01 22:06:29-02:00,"deveria estar estudando, mas estou https://youtube.com/watch?v=VRGNPMeSqMw…",VRGNPMeSqMw
2,gabizinha,@gabturquetti,2013-06-01 20:33:26-03:00,ganhei meu dia https://youtube.com/watch?v=DUICSvCbVJM…,DUICSvCbVJM
3,gabizinha,@gabturquetti,2013-05-24 21:49:56-03:00,que música boaaaaaaaa https://youtube.com/watch?v=lC6vZOgYduk… apx,lC6vZOgYduk
