,index,tweet
4,dormir,248
5,amanha,236
8,estudar,188
15,gente,144
23,lindo,118
24,mundo,115
26,ficar,112
34,artists,95
35,pessoas,94
36,melhor,92
37,linda,92
41,mcfly,88
42,quero,86
44,prova,84
45,saudade,84
47,agora,81
49,voltar,79
54,minha,76
56,preguica,75
57,vontade,75
58,filme,75
61,arrumar,74
63,cabelo,72
64,musica,72
66,quimica,71
67,passar,70
69,fisica,69
70,ouvir,69
72,brasilia,69
73,serio,69
75,tomar,68
78,queria,67
79,daqui,65
80,colegio,65
81,violao,64
84,radiohead,64
85,comprar,63
90,falar,61
91,super,61
98,quase,58
100,comer,56
102,semana,56
106,tocar,54
108,manha,53
110,feliz,53
111,acordar,53
112,tempo,53
113,comecar,52
114,acabei,51
116,achei,51
118,odeio,50
119,porra,50
120,ijustwannarun,50
122,finalmente,49
123,irmao,49
126,consigo,49
127,mamae,48
129,saber,48
130,tommcfly,48
131,biologia,47
133,livro,47
135,fotos,47
137,entao,47
138,beatles,47
140,minutos,46
143,tweets,45
144,celular,44
145,ingles,44
146,computador,44
148,morrer,44
149,pessoa,44
151,adoro,44
155,monkeys,43
157,caralho,42
158,comigo,42
159,moveis,41
161,ppleasegodie,41
162,preciso,40
163,terminar,40
164,alguem,40
167,vamos,40
168,ficou,40
170,amigos,39
171,tirar,39
173,wanna,39
174,night,39
180,matematica,38
181,acordei,37
182,banho,37
184,cabeca,37
185,entrar,37
187,arctic,36
190,twittar,35
191,beijos,35
192,tedio,35
193,voltei,35
199,school,34
200,comprei,34
201,postar,33
202,falando,33
203,pegar,33
204,chegar,33
205,pariu,33
206,morning,33
207,esperar,33
208,ferias,32
211,realmente,32
213,legal,32
214,volto,32
215,muito,32
217,chega,32
218,voces,32
222,weekly,31
227,sleep,31
228,baixar,31
229,academia,30
231,ouvindo,30
234,provas,30
238,maria,30
240,amandlaa,29
241,existe,29
242,desenho,29
244,laura,29
247,merda,29
249,livros,28
250,followers,28
251,internet,28
252,tenho,28
253,gabriela,28
254,musicas,28
255,dormi,28
258,deixa,28
259,annajota,27
262,morrendo,27
263,cursinho,27
265,skoob,27
266,fiquei,27
267,comofas,26
268,fazer,26
269,fletcher,26
270,historia,26
271,sinto,26
273,tentar,26
276,parar,26
279,tdfbr,25
280,resultado,25
281,verdade,25
282,facil,25
283,orkut,25
285,conseguir,25
286,passei,25
287,levar,25
288,desenhar,25
289,facebook,25
290,aparelho,24
292,photo,24
293,volta,24
295,chuva,24
296,materia,24
299,mayer,24
304,ligar,24
306,green,24
307,madrugada,24
311,aonde,24
313,escrever,24
315,acabar,23
316,hermanos,23
318,aniversario,23
319,certo,23
324,brasil,23
325,causa,23
326,conversar,23
327,geografia,23
329,deixar,23
330,killers,22
331,pizza,22
332,onibus,22
334,pronto,22
335,achar,22
336,really,22
337,denovo,22
338,vestibular,22
339,demilovatolive,22
340,claro,22
342,tweet,22
343,cheguei,22
344,cappuccino,22
345,enfim,22
349,blusa,22
352,paulo,21
353,beijinhos,21
354,people,21
355,thedowntownfiction,21
356,amandlagandhi,21
357,consegui,21
358,nossa,21
359,placebo,21
360,saindo,21
361,chegou,21
364,almocar,21
365,aulas,21
366,kooks,21
368,ddlovato,21
371,quiser,20
372,dando,20
373,lindos,20
374,chapinha,20
375,today,20
376,listen,20
377,esqueci,20
378,cortar,20
379,ficando,20
380,almoco,20
381,mimimi,20
382,gabsfletcher,20
383,filmes,20
384,guitar,20
386,tired,20
387,study,20
388,porque,20
389,playing,20
391,estou,20
392,something,20
395,others,19
397,iedamariaff,19
398,mudar,19
399,bowie,19
402,twitter,19
403,comeca,19
404,espero,19
408,tchau,19
409,tomorrow,19
410,jogar,19
411,sentir,19
412,itallorafael,19
413,dinheiro,18
414,somebody,18
415,faltar,18
416,think,18
417,depois,18
418,domingo,18
419,lafusa,18
420,acaba,18
421,thomas,18
423,matar,18
424,louca,18
426,dificil,18
427,lindas,18
430,gostei,18
431,pensando,18
432,guria,18
435,fucking,18
437,weezer,18
439,chocolate,18
440,wordpress,18
441,tenso,18
442,reais,18
443,sabado,17
444,mandar,17
445,acredito,17
446,nunca,17
447,entra,17
448,bored,17
449,trying,17
451,homework,17
452,mcflybr,17
453,socorro,17
454,tdfrocksbr,17
455,black,17
458,acabou,17
459,jeito,17
460,gosto,17
461,sampa,17
466,rindo,16
468,lolla,16
469,ohanabanana,16
470,incrivel,16
471,nothing,16
473,milagre,16
474,chorar,16
475,passando,16
476,mentira,16
477,lendo,16
478,quando,16
479,comida,16
482,twitition,16
484,galerinha,16
486,pensar,16
487,aprender,16
488,oasis,16
489,perfeito,16
490,perdi,16
491,querendo,16
492,morra,16
493,hahaha,16
495,calling,16
496,resto,16
498,awesome,16
499,never,16
500,descobri,16
501,amores,16
502,beigos,15
505,curitiba,15
506,fresno,15
507,trocar,15
508,coracao,15
509,sebastian,15
512,pedir,15
514,frajola,15
518,professor,15
519,mimir,15
521,direito,15
522,responde,15
523,horario,15
524,adivinha,15
526,vejamos,15
527,lembrar,15
528,unica,15
530,belle,15
533,myspace,15
535,class,15
536,roupa,15
537,estudei,15
538,metthisgirl,15
539,happy,15
540,consegue,14
541,melhores,14
542,follow,14
544,mensagem,14
545,impossivel,14
547,entender,14
548,atoron,14
549,brazil,14
550,sentindo,14
553,tentando,14
554,chato,14
555,chata,14
556,talking,14
558,strokes,14
559,lembra,14
560,mudei,14
561,qualquer,14
564,norte,14
565,maybe,14
566,mariajones,14
567,aloka,14
570,english,14
571,dougpurplehairagain,14
573,background,14
574,banda,14
575,unsaidthingsq,14
576,igreja,14
577,sorry,14
578,sozinha,13
579,ultimo,13
580,errado,13
581,parada,13
583,idade,13
584,falei,13
585,tirei,13
586,redacao,13
588,ganhar,13
590,friend,13
591,shopping,13
592,springsteensingwithdanny,13
593,galere,13
594,agente,13
595,replay,13
596,gramatica,13
597,desculpa,13
598,dentista,13
601,atencao,13
602,mallu,13
605,contar,13
606,little,13
607,vergonha,13
608,jesus,13
609,dedos,13
610,twitcam,13
611,proceis,13
614,estudando,13
615,senao,13
616,alone,13
617,sabia,13
619,episodios,13
