,index,tweet
622,sinceramente,13
625,orelha,12
626,dormindo,12
627,lavar,12
629,humor,12
633,floyd,12
635,engracado,12
636,natal,12
638,things,12
639,frente,12
641,stage,12
642,exercicios,12
643,estudo,12
644,terminei,12
645,precisa,12
646,coloquei,12
648,lembro,12
650,aquele,12
651,david,12
653,chorando,12
654,lunch,12
655,esquecer,12
656,ganhei,12
657,notebook,12
658,heart,12
659,problema,12
662,abrir,12
664,going,12
665,sonic,12
666,takemehome,12
667,baixei,12
668,youth,12
669,coragem,12
670,criar,12
671,heyheyapple,12
672,otimo,12
674,voltou,12
675,guitarra,12
677,foranxzero,12
678,feeling,12
681,postei,12
682,delicia,12
683,metro,12
684,passou,12
687,ohana,12
688,smiths,12
689,adorei,12
690,beleza,12
691,entendo,12
692,queijo,12
693,tomara,12
694,ideia,12
696,updates,12
697,pestana,12
698,maravilhosa,12
699,esquecido,11
700,culpa,11
701,downtown,11
702,obrigada,11
703,apaixonada,11
704,ninguem,11
705,jonas,11
707,esquece,11
709,conta,11
710,still,11
712,google,11
714,mandou,11
715,sonho,11
716,doctor,11
718,senhor,11
719,precisava,11
720,assim,11
721,right,11
722,triste,11
726,change,11
729,casaco,11
730,calca,11
731,fiction,11
732,questoes,11
733,normal,11
734,serie,11
736,geologia,11
739,provavelpravoce,11
743,pesquisar,11
744,curso,11
745,sentido,11
747,seguir,11
750,stella,11
754,crianca,11
755,smart,10
758,chamar,10
759,disney,10
761,tocando,10
762,sorte,10
763,medio,10
764,subway,10
765,cameron,10
766,ensino,10
767,please,10
768,avril,10
769,parabens,10
772,conhecer,10
773,dreams,10
774,cansei,10
777,friends,10
778,filha,10
780,viajar,10
782,caindo,10
783,temporada,10
784,ainda,10
786,cidade,10
787,watch,10
788,money,10
789,tinha,10
790,familia,10
792,tommcflyfollowgabsfletcher,10
795,viado,10
799,alargador,10
800,ultima,10
801,ajuda,10
802,trustnocow,10
803,saudades,10
804,perder,10
805,breakfast,10
808,macarrao,10
809,achando,10
810,aprendi,10
812,uniforme,10
813,aaaaa,10
816,gurias,10
817,comecando,10
818,londres,10
819,demorar,10
821,american,10
822,credo,10
823,caderno,10
826,deixou,10
829,thayna,9
831,loved,9
832,morta,9
834,comendo,9
835,coisinhas,9
836,literatura,9
837,dente,9
838,menina,9
840,lembrei,9
845,gonna,9
846,paciencia,9
848,virar,9
849,atualizar,9
850,achava,9
851,marinafletcher,9
852,ajudar,9
853,amiga,9
854,sonhei,9
856,inscricao,9
857,tenis,9
858,quebrar,9
859,inferno,9
860,motivos,9
861,gostar,9
862,palheta,9
863,idiota,9
864,comeco,9
865,fighters,9
866,horrivel,9
867,alegria,9
868,lollapalooza,9
870,escola,9
871,santo,9
874,responder,9
875,tirando,9
876,alegrar,9
879,franz,9
880,diferente,9
882,found,9
883,rapido,9
884,mulher,9
886,curto,9
887,fazia,9
888,unfollow,9
889,atras,9
890,aguento,9
891,continuar,9
892,respondeu,9
894,carteira,9
895,marcar,9
898,passado,9
899,engenharia,9
900,educacao,9
904,inteira,9
906,cereal,9
909,perguntem,9
911,itunes,9
912,seriously,9
913,oculos,9
915,formatura,9
916,bonito,9
917,morri,9
918,dieta,9
922,choro,9
923,paginas,9
925,passo,8
928,acordo,8
929,roupas,8
930,durmo,8
931,peguei,8
932,ultimamente,8
934,thayiaccino,8
935,anaisabela,8
936,sorvete,8
937,nutella,8
939,download,8
940,acordou,8
941,miley,8
942,passa,8
943,ferdinand,8
945,badge,8
948,escreve,8
949,aleluia,8
950,mariucker,8
951,forasteira,8
952,valeu,8
953,terca,8
954,futuro,8
956,amanhecer,8
958,acontecendo,8
959,simulado,8
960,semestre,8
961,shower,8
963,caros,8
964,cortei,8
965,magico,8
966,terceirao,8
967,laranja,8
968,casamento,8
969,romeu,8
970,without,8
971,cacete,8
972,cheio,8
973,bloody,8
977,precisando,8
979,beijo,8
980,fuder,8
981,nisso,8
982,comecou,8
983,tumblr,8
984,gripe,8
985,legais,8
986,album,8
988,pergunta,8
989,morreu,8
990,capinhas,8
991,cespe,8
992,parece,8
994,vestido,8
995,doente,8
997,desisto,8
999,semanas,8
1000,levantar,8
1001,afinal,8
1002,virou,8
1007,resta,8
1008,thing,8
1009,colar,8
1010,foursquare,8
1011,miojo,8
1014,acabo,8
1015,raiva,8
1016,lucas,8
1017,entro,8
1018,surfinbird,8
1019,tdfweek,8
1020,aceito,8
1021,graca,8
1022,viciada,8
1023,prefiro,8
1024,story,8
1025,falling,8
1026,social,8
1027,geladeira,8
1029,hahahaha,8
1030,sebinho,8
1031,coisa,8
1032,universo,8
1033,hmmmmmm,7
1034,feira,7
1038,adicts,7
1039,everyone,7
1044,hungry,7
1045,caramba,7
1048,ciumes,7
1049,pouquinho,7
1050,didnt,7
1051,palavras,7
1052,chorei,7
1053,waiting,7
1054,namorada,7
1056,filosofia,7
1057,felicidade,7
1058,party,7
1059,homens,7
1060,porta,7
1061,blogspot,7
1062,risos,7
1063,capricho,7
1064,certas,7
1065,perfeita,7
1066,power,7
1067,filho,7
1068,presente,7
1069,chamada,7
1071,thanks,7
1072,bimestre,7
1073,leite,7
1074,believe,7
1076,brightside,7
1077,girls,7
1078,sumir,7
1079,unlocked,7
1080,professora,7
1081,julietasemromeu,7
1082,maravilhoso,7
1083,festa,7
1084,animada,7
1085,arrumando,7
1088,fingir,7
1089,junto,7
1093,andar,7
1094,franja,7
1095,perfect,7
1096,gosta,7
1097,inteiro,7
1098,chegando,7
1099,esperando,7
1101,rinite,7
1102,forever,7
1104,exausta,7
1106,downtownfiction,7
1108,exatas,7
1110,desespero,7
1111,desanimo,7
1112,cauvignol,7
1113,pegou,7
1114,iandieb,7
1119,hahahahaha,7
1120,terra,7
1121,tomei,7
1123,criancas,7
1124,status,7
1126,finished,7
1128,capotarei,7
1130,goodbye,7
1131,tdfsuperawesomeday,7
1133,ouvia,7
1134,motivo,7
1135,acordada,7
1138,percebi,7
1140,parede,7
1141,cerebro,7
1142,porcaria,7
1143,chatiada,7
1145,crazy,7
1146,completamente,7
1147,bandas,7
1148,esmalte,7
1149,coming,7
1150,engolir,7
1152,comecei,7
1153,gracas,7
1155,resposta,7
1157,checking,7
1159,tensa,7
1161,porao,7
1163,davidptdf,7
1165,troquei,7
1167,chover,7
1168,anoite,7
1171,white,7
1172,mesmo,7
1174,video,7
1175,shows,7
1177,baixando,7
1179,cantando,7
1180,rererere,7
1182,mensagens,7
1184,diabos,7
1185,verde,7
1186,amigo,7
1188,emocao,7
1189,falou,7
1190,animar,7
1191,apesar,7
1192,cacar,7
1194,pagina,6
1195,tempinho,6
1197,amiguinhos,6
1198,minuto,6
1199,estilo,6
1200,marvin,6
1201,justmyluckq,6
1202,danny,6
1204,descobrir,6
1205,duvidas,6
1207,lista,6
1209,todos,6
1210,elvis,6
1211,morrissey,6
1212,giuterraza,6
1213,procurar,6
1214,breaking,6
1215,morar,6
1216,bunda,6
1217,dessas,6
1219,deveres,6
1220,morango,6
1223,insuportavel,6
1224,chora,6
1225,julieta,6
1226,feriado,6
1227,bolsa,6
1228,unhas,6
1229,dormirei,6
1230,cover,6
1231,ideias,6
1233,penso,6
1234,fingers,6
1235,ingresso,6
1238,chama,6
1239,estomago,6
1240,house,6
1241,marina,6
1242,camerontdf,6
1245,juice,6
1246,vicia,6
1247,maracuja,6
1248,futil,6
1249,enough,6
1250,correndo,6
1251,happybdayericjtdf,6
1252,feios,6
1253,fernando,6
1254,consulta,6
1255,caixa,6
1256,taylor,6
1257,harry,6
1259,quadro,6
1260,morro,6
1261,demora,6
1262,galois,6
1266,malas,6
1267,crise,6
1270,professores,6
1271,demais,6
1272,capitulo,6
1273,artes,6
1274,tchubarubaq,6
1275,colica,6
1276,inventar,6
1277,claudia,6
1278,carregar,6
1280,barbara,6
1284,sentimento,6
1285,iphone,6
1286,resolver,6
1287,tomando,6
1290,carnaval,6
1291,vantagem,6
1294,compra,6
1295,another,6
1296,totalmente,6
1299,entendendo,6
1300,computer,6
1301,acorda,6
1302,capeta,6
1303,ericjtdf,6
1304,amiguinhas,6
1306,comoassim,6
1308,thinking,6
1310,superior,6
1311,drink,6
1314,cinema,6
1315,bastasse,6
1316,seguindo,6
1318,percebe,6
1319,alias,6
1320,fechar,6
1321,durante,6
1322,senti,6
1324,essas,6
1325,inspirada,6
1326,tanto,6
1327,sometimes,6
1328,garganta,6
1331,comprou,6
1332,galera,6
1333,jogando,6
1335,editar,6
1336,frajolito,6
1337,versao,6
1338,everybody,6
1340,fudeu,6
1341,boring,6
1342,assistir,6
1344,perguntando,6
1346,funcionar,6
1347,thais,6
1349,sacanagem,6
1351,whatever,6
1352,morte,6
1353,amandla,6
1354,buscar,6
1355,quente,6
1356,segundos,6
1357,entrei,6
1358,capinha,6
1359,explica,6
1361,minimo,6
1365,interessante,6
1366,inventou,6
1367,yesterday,6
1368,chance,6
1370,saying,6
1371,seila,6
1374,preto,6
1375,aeroporto,6
1376,bicha,6
1377,brigadeiro,6
1379,kkkkkkk,6
1380,cheiro,6
1381,resumo,6
1382,janela,6
1383,palavra,6
1384,euzinha,6
1385,acham,6
1386,carrie,5
1387,candy,5
1388,fantastico,5
1389,posting,5
1391,paradas,5
1394,cristo,5
1395,church,5
1396,nervosa,5
1397,presta,5
1399,agonia,5
1400,horror,5
1403,perceber,5
1405,manter,5
1406,ligando,5
1407,taynara,5
1408,london,5
1409,klaxons,5
1410,momentos,5
1413,sangue,5
1414,fudendo,5
1415,atualizei,5
1418,sente,5
1419,gostosa,5
1420,crescer,5
1422,decorar,5
1423,folks,5
1424,joanna,5
1425,sensacao,5
1427,carro,5
1428,churras,5
1429,chegue,5
1432,gatos,5
1433,clothes,5
1434,whatsapp,5
1435,gentxi,5
1436,metade,5
1438,vermelho,5
1439,calculo,5
1440,materias,5
1441,camera,5
1442,pagar,5
1443,magalhaes,5
1445,antigo,5
1446,seletiva,5
1447,mental,5
1448,hmmmm,5
1449,update,5
1450,patrick,5
1451,iremos,5
1452,blogs,5
1454,espaco,5
1455,onnline,5
1456,biblioteca,5
1459,blusas,5
1460,otima,5
1461,palhetas,5
1462,calor,5
1463,arrancar,5
1464,poster,5
1465,velho,5
1467,s2s2s2s2s2s2,5
1471,imaginava,5
1472,formigas,5
1473,deixam,5
1474,alergic,5
1477,numeros,5
1478,bondemais,5
1479,ocean,5
1480,montana,5
1481,aceitar,5
1482,resolve,5
1483,teclado,5
1485,mimimimi,5
1486,words,5
1487,depressao,5
1488,impossible,5
1489,reclamar,5
1490,melhorar,5
1491,impressao,5
1492,morram,5
1493,realizada,5
1494,clipe,5
1495,fizer,5
1496,china,5
1497,plain,5
1498,tracey,5
1499,pronta,5
1500,primeiro,5
1502,palmas,5
1504,mandando,5
1505,comidinha,5
1506,novamente,5
1508,watching,5
1509,encontra,5
1510,abril,5
1511,stargirlinspace,5
1513,padaria,5
1514,music,5
1516,getting,5
1518,desenhos,5
1520,pular,5
1521,formulas,5
1522,embaixo,5
1523,amigas,5
1524,pedrosogui,5
1525,doendo,5
1526,malhar,5
1527,thats,5
1528,mccartney,5
1532,bonitos,5
1533,cheia,5
1535,percebeu,5
1536,recomendo,5
1537,merece,5
1541,dentist,5
1542,hotel,5
1543,coffee,5
1544,entregar,5
1545,instagram,5
1547,ficha,5
1548,massa,5
1549,marine,5
1550,charlie,5
1552,batman,5
1553,besouros,5
1554,isabela,5
1556,nublado,5
1557,demanda,5
1558,desesperada,5
1559,central,5
1561,descobre,5
1562,respirar,5
1563,lecau,5
1565,graham,5
1566,mereco,5
1567,killer,5
1568,radio,5
1569,besta,5
1570,mudaram,5
1571,mousse,5
1572,gabaritar,5
1573,forca,5
1574,amando,5
1575,marquei,5
1576,posters,5
1577,brimks,5
1579,amarelo,5
1580,letra,5
1581,oficial,5
1584,oficialmente,5
1585,drawing,5
1586,cansada,5
1587,viver,5
1590,completar,5
1591,tomfletcherfollowgabsfletcher,5
1592,s2s2s2s2,5
1593,portugues,5
1594,baixou,5
1595,funny,5
1596,mandem,5
1598,episodio,5
1599,discografia,5
1602,following,5
1603,outubro,5
1604,start,5
1605,tristeza,5
1606,rezar,5
1607,creditos,5
1608,deveria,5
1609,definitivamente,5
1610,aparece,5
1611,gusta,5
1613,copiar,5
1614,escrevi,5
1615,duvida,5
1618,cookies,5
1620,caminha,5
1621,arrumei,5
1622,ontem,5
1623,vantagens,5
1625,studying,5
1626,darth,5
1629,ataque,5
1630,stephen,5
1632,fizeram,5
1633,efeito,5
1634,listas,5
1635,capaz,5
1636,invisivel,5
1638,albuns,5
1639,smile,5
1642,religiao,5
1643,tchubaruba,5
1644,sweet,5
1646,faltam,5
1647,marinasoares,5
1648,orgastic,5
1649,prazer,5
1651,finally,5
1652,aproveitar,5
1653,great,5
1654,partiu,5
1656,ficam,5
1658,primo,5
1660,simples,5
1661,entendi,5
1662,fragmentos,5
1663,noite,5
1664,wearing,5
1665,telefone,5
1667,minhas,5
1668,better,5
1672,acontece,5
1673,brothers,5
1674,vazio,5
1675,andei,4
1677,deixei,4
1679,funcionando,4
1680,vagas,4
1681,receber,4
1683,faltando,4
1684,queridos,4
1685,teacher,4
1687,doacoes,4
1688,focal,4
1690,hamster,4
1691,compor,4
1692,comentarios,4
1693,gatinho,4
1694,ajudem,4
1695,xenti,4
1696,cuidar,4
1697,criando,4
1698,weebly,4
1699,chamado,4
1700,stomach,4
1701,jackson,4
1702,aaaaaaa,4
1703,olhem,4
1704,perfeitos,4
1705,entende,4
1706,crying,4
1707,pensamento,4
1708,morre,4
1710,detalhe,4
1712,remedio,4
1713,mostrar,4
1714,contas,4
1717,aaaaaah,4
1719,desisti,4
1721,darko,4
1722,direto,4
1725,brincadeira,4
1726,trailer,4
1729,quarto,4
1730,adicionar,4
1731,aires,4
1732,musical,4
1733,noticia,4
1734,potter,4
1735,agradavel,4
1736,aaaaaaaaa,4
1737,viciante,4
1738,torna,4
1739,boletim,4
1741,space,4
1742,ambiental,4
1745,lolquiz,4
1747,noturno,4
1748,atendeu,4
1749,assunto,4
1752,series,4
1753,ficaram,4
1755,mofar,4
1756,unico,4
1757,everything,4
1758,viciei,4
1759,ninho,4
1760,pensa,4
1762,limpar,4
1763,cobertor,4
1764,reading,4
1765,criatura,4
1766,kevin,4
1768,ponho,4
1770,pedindo,4
1771,estudou,4
1772,diaaa,4
1773,inutil,4
1774,comprado,4
1775,alguma,4
1777,sigma,4
1780,michael,4
1781,maravilha,4
1782,world,4
1783,recuperar,4
1784,support,4
1785,senha,4
1786,franklin,4
1788,turma,4
1789,maroto,4
1790,kkkkk,4
1791,preocupada,4
1792,vender,4
1793,lavigne,4
1794,ligou,4
1796,cheese,4
1798,maquiagem,4
1802,organica,4
1803,emotiva,4
1804,bieber,4
1805,livre,4
1807,faculdade,4
1809,aftas,4
1810,price,4
1811,famosa,4
1812,banheiro,4
1813,skype,4
1814,toquei,4
1815,around,4
1816,chesse,4
1818,thank,4
1820,nesse,4
1821,grata,4
1822,movimento,4
1823,pedido,4
1824,pique,4
1825,sueter,4
1828,babibch,4
1830,bagunca,4
1833,desejar,4
1835,sugestoes,4
1836,check,4
1837,rerererere,4
1838,descer,4
1841,beautiful,4
1842,perdeu,4
1844,bonita,4
1847,ceama,4
1848,ancora,4
1850,memoria,4
1852,filecomfritas,4
1853,imagina,4
1854,hmmmmm,4
1855,quanto,4
1856,piece,4
1857,nessa,4
1859,pijama,4
1861,tarde,4
1863,beijosmil,4
1864,digitar,4
1865,minutes,4
1867,dizendo,4
1868,papel,4
1869,acucar,4
1870,lerda,4
1872,postando,4
1873,podia,4
1874,livrar,4
1875,djalma,4
1877,macumba,4
1878,rules,4
1879,causw,4
1880,dessa,4
1881,colorido,4
1883,inveja,4
1884,virada,4
1885,edital,4
1886,natural,4
1887,produtivo,4
1888,kkkkkk,4
1891,presley,4
1892,karol,4
1893,justin,4
1894,sleeped,4
1897,conseguindo,4
1899,forte,4
1901,porto,4
1902,energia,4
1904,acreditar,4
1906,covers,4
1907,olhar,4
1909,sorrindo,4
1910,esperanca,4
1911,morto,4
1912,armario,4
1913,preta,4
1914,permitido,4
1915,descarregar,4
1916,buenos,4
1919,trabalhar,4
1920,longo,4
1921,entrou,4
1922,viados,4
1923,amazing,4
1924,flickr,4
1926,ironico,4
1927,universe,4
1928,piorar,4
1929,eating,4
1930,criou,4
1931,asleep,4
1932,movie,4
1933,rendi,4
1934,deixo,4
1935,conhece,4
1936,possa,4
1937,bonitinha,4
1940,objetos,4
1941,acabando,4
1942,ansiedade,4
1943,nhacnhac,4
1944,decidi,4
1948,brasileira,4
1949,chegaram,4
1950,venha,4
1951,felizes,4
1952,experimente,4
1953,hmmmmmmm,4
1954,seriao,4
1958,seria,4
1960,sempre,4
1963,conseguiu,4
1964,cedinho,4
1966,zamiga,4
1967,baixa,4
1969,apareceu,4
1970,decidir,4
1971,industrial,4
1972,branca,4
1974,sinal,4
1976,jones,4
1977,acessar,4
1979,twitto,4
1980,twittando,4
1981,acordando,4
1982,luiza,4
1983,livrinho,4
1984,ahhhh,4
1985,ansiosa,4
1986,alegre,4
1987,homem,4
1988,pareco,4
1989,revisar,4
1990,vagabunda,4
1991,perguntar,4
1992,estarei,4
1993,correr,4
1994,dream,4
1995,preferencia,4
1996,ringo,4
1997,mente,4
1998,orgulho,4
2000,donnie,4
2001,alameda,4
2004,ligado,4
2005,explodir,4
2006,exato,4
2010,visto,4
2011,novidade,4
2012,depre,4
2014,casar,4
2016,brunna,4
2017,demorei,4
2018,dorian,4
2019,prestar,4
2020,cifras,4
2021,mexer,4
2022,tambem,4
2024,vader,4
2025,namorado,4
2026,nirvana,4
2028,different,4
2029,s2222,4
2030,outback,4
2032,carai,4
2033,divertido,4
2035,boladissima,4
2036,medicina,4
2038,catapora,4
2039,aberto,4
2040,stepfather,4
2041,balada,3
2042,posts,3
2043,hello,3
2046,informatica,3
2047,joguinho,3
2050,corroi,3
2051,absurdamente,3
2052,toddynho,3
2054,escovar,3
2055,sobreviver,3
2056,convida,3
2057,short,3
2058,paper,3
2060,plano,3
2061,instalar,3
2062,esperava,3
2063,especiais,3
2064,omelete,3
2065,definir,3
2066,later,3
2068,namorando,3
2070,adoravel,3
2071,preste,3
2072,capitulos,3
2073,pesquisando,3
2075,rafaelaguedes,3
2076,respondi,3
2077,nabbo,3
2081,decente,3
2083,pedacos,3
2084,atrasar,3
2085,caras,3
2086,absolutamente,3
2087,brain,3
2088,apaga,3
2090,gabaritei,3
2091,times,3
2093,perguntou,3
2094,cafeina,3
2095,eletrica,3
2097,encima,3
2098,images,3
2099,promise,3
2100,forget,3
2101,downloading,3
2102,volume,3
2103,levanto,3
2104,restart,3
2105,quetal,3
2106,chiclete,3
2107,conheci,3
2108,ingressos,3
2109,favorite,3
2110,clube,3
2111,combina,3
2113,crush,3
2114,ultimas,3
2115,acertei,3
2116,dinatos,3
2117,esqueco,3
2118,blood,3
2119,hehehe,3
2120,zamigas,3
2121,matando,3
2122,goste,3
2123,posta,3
2124,atacada,3
2125,direitinho,3
2126,exercicio,3
2127,pensei,3
2128,procura,3
2129,branco,3
2130,sumiu,3
2131,comemorar,3
2132,brinks,3
2134,footloose,3
2135,poeira,3
2138,recuperacao,3
2139,tommcflyontwitcam,3
2140,camillabrito,3
2141,gostando,3
2142,sonos,3
2143,explorer,3
2144,decidido,3
2145,liked,3
2146,kristen,3
2148,mecanica,3
2149,escuro,3
2150,insonia,3
2151,passava,3
2155,cansa,3
2156,pondo,3
2157,abracar,3
2158,early,3
2159,entendeu,3
2160,killing,3
2161,vendo,3
2162,respira,3
2163,finish,3
2164,matei,3
2165,risco,3
2167,orgulhosa,3
2168,novata,3
2169,espanhol,3
2170,bolso,3
2172,babando,3
2175,oportunidade,3
2176,ignorando,3
2177,merecendo,3
2178,hahahah,3
2179,bonitas,3
2180,lingua,3
2181,resolveu,3
2182,verao,3
2183,desintegrar,3
2184,mudam,3
2185,twittes,3
2186,trouxe,3
2187,vomitar,3
2189,aberta,3
2190,presentes,3
2191,kings,3
2192,esperado,3
2193,leahy,3
2194,primeira,3
2195,respondendo,3
2196,tardis,3
2198,meirritei,3
2199,programa,3
2200,pintei,3
2201,cuzoes,3
2204,cultural,3
2205,carona,3
2206,mudou,3
2207,menino,3
2208,sound,3
2209,aaaaaaaaaaaaaah,3
2212,distancia,3
2213,conversas,3
2214,coxon,3
2215,enviado,3
2216,exatamente,3
2217,flower,3
2219,enchendo,3
2220,greve,3
2221,tavam,3
2222,aaaaaaaaaaaaa,3
2223,escreveu,3
2225,rever,3
2226,beigosss,3
2228,maarifletcher,3
2230,diaaaaaaa,3
2231,escrevia,3
2232,putaquepariu,3
2233,horas,3
2234,extremamente,3
2237,learn,3
2238,mechas,3
2240,adianta,3
2241,razao,3
2242,travesseiro,3
2244,sofrendo,3
2245,falta,3
2246,gastei,3
2247,inteligente,3
2248,tablet,3
2249,vemnimim,3
2251,famosos,3
2252,psicologicamente,3
2253,bought,3
2254,dormiu,3
2255,wayfarer,3
2256,rodoviaria,3
2257,invadindo,3
2258,write,3
2259,juntos,3
2260,ocorreu,3
2261,mulheres,3
2263,favor,3
2264,ruivo,3
2265,desistir,3
2266,plastic,3
2267,irritando,3
2268,aaaaaaaaaa,3
2269,desse,3
2270,fodas,3
2271,termino,3
2272,acaju,3
2273,loucura,3
2274,fique,3
2275,basica,3
2276,infinita,3
2277,theory,3
2278,gabarito,3
2279,aluna,3
2280,enter,3
2281,poser,3
2282,ignorante,3
2283,janta,3
2284,falaram,3
2285,altas,3
2286,perco,3
2287,gincana,3
2288,guerra,3
2289,forcas,3
2290,certinho,3
2291,loves,3
2294,hours,3
2295,knows,3
