,index,Unnamed: 0,name,handle,time,tweet
2468,4834,4834,gabizinha,@gabturquetti,2012-01-24 22:39:05-02:00,"My Top 3 #lastfm Artists: Los Hermanos (120), The Black Keys (44) & The Beatles (29) http://bit.ly/dp5r3U"
2533,4964,4964,gabizinha,@gabturquetti,2012-01-16 09:29:30-02:00,"My Top 3 #lastfm Artists: The Beatles (20), The Black Keys (16) & Joy Division (13) http://bit.ly/dp5r3U"
2557,5005,5005,gabizinha,@gabturquetti,2012-01-09 13:17:23-02:00,"My Top 3 #lastfm Artists: The Black Keys (245), Oasis (67) & Blur (55) http://bit.ly/dp5r3U"
2636,5172,5172,gabizinha,@gabturquetti,2012-01-02 21:40:29-02:00,"My Top 3 #lastfm Artists: The xx (51), The Beatles (50) & The Strokes (37) http://bit.ly/dp5r3U"
2712,5297,5297,gabizinha,@gabturquetti,2011-12-25 18:15:22-02:00,"My Top 3 #lastfm Artists: Arctic Monkeys (153), Weezer (49) & Pink Floyd (47) http://bit.ly/dp5r3U"
2771,5418,5418,gabizinha,@gabturquetti,2011-12-19 04:06:08-02:00,"My Top 3 #lastfm Artists: The Kooks (100), The Black Keys (82) & Arctic Monkeys (62) http://bit.ly/dp5r3U"
2800,5473,5473,gabizinha,@gabturquetti,2011-12-12 04:50:02-02:00,"My Top 3 #lastfm Artists: Radiohead (98), Elvis Presley (74) & David Bowie (46) http://bit.ly/dp5r3U"
2827,5525,5525,gabizinha,@gabturquetti,2011-12-05 07:42:15-02:00,"My Top 3 #lastfm Artists: Los Hermanos (43), Radiohead (33) & Arctic Monkeys (18) http://bit.ly/dp5r3U"
2850,5567,5567,gabizinha,@gabturquetti,2011-11-28 02:02:27-02:00,"My Top 3 #lastfm Artists: Muse (80), Arctic Monkeys (39) & Joan Jett and the Blackhearts (38) http://bit.ly/dp5r3U"
2864,5590,5590,gabizinha,@gabturquetti,2011-11-20 21:10:24-02:00,"My Top 3 #lastfm Artists: Arctic Monkeys (68), Los Hermanos (36) & Tiê (33) http://bit.ly/dp5r3U"
2926,5720,5720,gabizinha,@gabturquetti,2011-10-31 01:28:08-02:00,"My Top 3 #lastfm Artists: Kings of Convenience (70), The xx (65) & Arctic Monkeys (35) http://bit.ly/dp5r3U"
2980,5823,5823,gabizinha,@gabturquetti,2011-10-17 03:57:22-02:00,"My Top 3 #lastfm Artists: Plain White T's (23), Phantom Planet (18) & Weezer (11) http://bit.ly/dp5r3U"
3038,5939,5939,gabizinha,@gabturquetti,2011-10-10 02:46:40-03:00,"My Top 3 #lastfm Artists: John Mayer (117), The xx (92) & Radiohead (19) http://bit.ly/dp5r3U"
3053,5967,5967,gabizinha,@gabturquetti,2011-10-03 03:26:53-03:00,"My Top 3 #lastfm Artists: Los Hermanos (97), The xx (85) & Arctic Monkeys (31) http://bit.ly/dp5r3U"
3068,5991,5991,gabizinha,@gabturquetti,2011-09-25 15:47:03-03:00,"My Top 3 #lastfm Artists: Móveis Coloniais de Acaju (38), David Bowie (30) & Radiohead (28) http://bit.ly/dp5r3U"
