,artistas,contagem
0,Air,14
1,The Kooks,13
2,John Mayer,10
3,Arctic Monkeys,74
4,McFly,24
5,Beady Eye,13
6,Arctic Monkeys,284
7,Alex Turner,10
8,Pink Floyd,8
9,John Mayer,11
10,Radiohead,8
11,Oasis,5
12,Placebo,69
13,The Black Keys,22
14,Black Drawing Chalks,18
15,Black Drawing Chalks,52
16,Pixies,46
17,Radiohead,16
18,The Killers,84
19,Black Drawing Chalks,12
20,The Kooks,11
21,Soundgarden,37
22,Placebo,25
23,Radiohead,23
24,Placebo,39
25,Franz Ferdinand,20
26,Radiohead,12
